;Ano;Semana;Ideal, valor;Meta ideal;Meta ajustada;Semanal, valor;Recomendada, valor;vendas realizadas (bandejas);total de conversões;Equiv. product line;Conversões + Equiv. Prod. Line;meta de conversões;Dif. Meta/conversões;eficiência de conversão;% meta de vendas;% valor ideal;var. % movimento;A$%  (total -S);B$%  (total -S);D$% (total-S);F$%  (total -S);K$%  (total -S);P$%  (total-S);S$%  (total -S);$%  (Total-S);predicao floresta
18;2022;44;40,58;259;1016;10,335182389937106;11,37269230769231;695;52;6,28919718565272;58,28919718565272;84,23007209389296;-25,94087490824024;1,1003862223820433;0,6840816156858901;0,2546866039905645;-0,07596664180920083;0,02375590561136687;0,7791796556166349;0,022748632735947;0,10641128482782938;0,02024801109264522;0,04765651011557647;0,00913148352891098;1,0091314835289107;57,11
19;2022;45;40,58;259;1001;10,49882108183079;13,873571428571429;685;56;52,053463502275534;108,05346350227553;85,50359973291765;22,549863769357884;1,3214408856420046;0,6846675204934833;0,25871910009440097;-0,013919940685886653;0,012032083550788178;0,7766228648691736;0,02071022381179415;0,12302805430680912;0,02321891323213349;0,04438786022930145;0,08219417075632174;1,0821941707563218;57,12
20;2022;46;40,58;259;1007;10,428664921465968;13,749864864864865;673;74;4,027361154690932;78,02736115469094;87,03490023782585;-9,007539083134915;1,318468372357296;0,6690548227048253;0,25699026420566706;-0,016946004920292048;0,015749857893327644;0,765126664652594;0,030746586218301616;0,10184001294351956;0,041263195875255385;0,04527368241700184;0,0060135821047251;1,0060135821047251;69,7
21;2022;47;40,58;259;1061;9,904857549857551;14,991044776119404;712;67;25,228025616945263;92,22802561694526;81,95062994515594;10,277395671789321;1,513504328624595;0,6714448411564413;0,24408224617687413;0,057388418279207334;0,017630543152958186;0,6706394157237999;0,17067688062799993;0,0919021446086534;0,01418377196655486;0,03496724392003374;0,03671266769217659;1,0367126676921765;65,97
22;2022;48;40,58;259;1063;9,879680555555556;14,623928571428573;755;84;48,17767106167681;132,17767106167682;76,37017865451163;55,807492407165185;1,4802025722587988;0,7107073531961228;0,24346181753463667;0,060469904539331674;0,018603479709327783;0,6357209707009506;0,13858733761308767;0,12055197955334473;0,047181286616656694;0,03935494580663257;0,0681144944003526;1,0681144944003527;67,99
23;2022;49;40,58;259;1069;9,830711656441718;13,701739130434783;844;69;15,15658328788085;84,15658328788085;65,39580441885069;18,760778869030162;1,3937687940889323;0,7897169766604255;0,24225509256879543;0,11744229699068455;0,014539591860773284;0,6424646878098099;0,1564165611472658;0,11692163098638554;0,03359320553216132;0,036064322663604154;0,018281849681478644;1,0182818496814785;67,92
24;2022;50;40,58;259;1081;9,713912087912087;15,005098039215687;932;51;18,478651893851122;69,47865189385112;55,4643488459174;14,014303047933723;1,5447018568232576;0,8622964563186797;0,23937683804613324;0,10416281144358053;0,02140784766626292;0,6551657699783104;0,1265440410129292;0,13958254697050787;0,01569082561054618;0,041608968761443356;0,02022478240049576;1,0202247824004957;61,09
25;2022;51;40,58;259;1086;9,676065088757394;14,773;1044;40;70,68989240210244;110,68989240210244;44,32725062880495;66,3626417732975;1,5267569889711394;0,9621813028377885;0,23844418651447497;0,12099698202615285;0,018999024059065645;0,6777485466966522;0,12736241354436287;0,10891500827428184;0,019579284592862903;0,047395722832774635;0,07255908685874317;1,0725590868587431;48,45
26;2022;52;40,58;259;1096;9,58307855626327;12,647708333333334;996;48;22,346681052722527;70,34668105272253;48,83928105975657;21,507399992965958;1,3197959569127287;0,9096249444363415;0,23615274904542313;-0,045916957617516733;0,02027904566425652;0,6149957867980629;0,18049100130732393;0,10830980471514577;0,03652155478393822;0,03940280673127266;0,022929026552273146;1,0229290265522732;55,19
27;2023;1;45,3;232;1060;9,911662790697676;13,190344827586209;830;58;15,973101924793786;73,97310192479378;66,99346408575326;6,979637839040521;1,3307903130003225;0,7838136133632776;0,21880050310590898;-0,1666148610246156;0,023524430120680333;0,6867982136290643;0,13133070272425282;0,08470652035296553;0,02489008519558088;0,0487500479774562;0,019602040930032157;1,0196020409300324;41,17
28;2023;2;45,3;232;1051;9,998725314183126;14,081212121212122;1139;33;23,863041788091476;56,86304178809148;36,42365644977133;20,43938533832015;1,4083007262173723;1,0838955365563332;0,22072241311662533;0,3711074056417312;0,01606034601033565;0,6865766534041029;0,14316753783507247;0,08791044227377194;0,022443235061232865;0,0438417854154841;0,021395860179040122;1,02139586017904;31,07
29;2023;3;45,3;232;1063;9,885904203323555;13,165;1052;32;24,813107122516147;56,81310712251614;43,62306986102517;13,190037261490971;1,3316940695798003;0,9903607475440134;0,21823188086806966;-0,07586261487020324;0,018696886082825243;0,6420638606904859;0,1590868834455803;0,1112513924259899;0,028124052855112918;0,04077692450000592;0,024138663979563327;1,0241386639795635;53,29
30;2023;4;45,3;232;1024;10,255621734587251;12,799142857142854;949;35;13,602295756437075;48,60229575643707;53,68184512164713;-5,079549365210056;1,2480123768583953;0,9267659038964665;0,22639341577455302;-0,09854651782066222;0,020754349188016052;0,6841346499645058;0,1144178618746462;0,11660587688949532;0,024193254158948494;0,039894007924387874;0,014541595739468807;1,0145415957394686;36,25
31;2023;5;45,3;232;1063;9,878103813559322;13,504794520547945;1020;73;56,13223048323151;129,13223048323152;46,62195666170484;82,51027382152668;1,3671444211803476;0,9596269313002006;0,21805968683353913;0,0748941220654837;0,019953770264891556;0,640104347716501;0,15639555093935;0,1030223660760701;0,03722953452054766;0,0432944304826397;0,058231402823563524;1,0582314028235635;58,31
32;2023;6;45,3;232;1060;9,912208413001911;12,611034482758622;1073;58;23,36512615051644;81,36512615051643;41,80881294962733;39,5563132008891;1,272272934275337;1,0126239486122448;0,21881254774838657;0,052248626039166836;0,024020030784071455;0,6314962173255521;0,16863310652018934;0,10819582666377145;0,03390187144863846;0,03375294725777721;0,022252156518363795;1,0222521565183638;55,18
33;2023;7;45,3;232;1079;9,738973821989529;12,230344827586206;995;29;42,488049312311304;71,4880493123113;48,9567503912212;22,531298921090105;1,255814529449852;0,9228411176410385;0,21498838459138034;-0,07232827086528883;0,018311565908172883;0,6064962972936583;0,15872142183923518;0,13631021946950317;0,03779399488353306;0,042366500605897396;0,04457142857142857;1,0445714285714285;32,6
34;2023;8;45,3;232;1058;9,926919540229886;13,96978723404255;866;47;10,063544848444147;57,063544848444145;62,76397803431974;-5,700433185875596;1,4072630665966939;0,8191327627268228;0,21913729669381646;-0,12965471038629853;0,02087451885704071;0,6425647315889685;0,1640572538071006;0,10083157026951062;0,029331345059912806;0,042340580417466855;0,011748532021511927;1,0117485320215118;49,91
35;2023;9;45,3;232;1076;9,766083408884858;13,64038961038961;1121;77;52,86254257569865;129,86254257569865;37,80815410235459;92,05438847334406;1,3967103330266497;1,0423213992291134;0,21558683021820882;0,2941182477183186;0,011066640197288048;0,6309431719960499;0,15914403494100068;0,12349029049240456;0,03181060212553795;0,04354526024771876;0,0494654863052115;1,0494654863052115;43,46
36;2023;10;45,3;232;1089;9,646863636363635;14,050697674418604;1130;43;26,573403508441277;69,57340350844127;37,10523867299834;32,468164835442934;1,456504228115635;1,038038606915069;0,21295504716034516;0,007923243565560477;0,02638820606211095;0,6393477305202314;0,169885580280151;0,10740563316518917;0,01329082848388101;0,04368202148843648;0,024073368768762073;1,024073368768762;47,45
37;2023;11;45,3;232;1040;10,100921501706484;13,122;934;20;92,06585754011563;112,06585754011563;55,21534911928621;56,85050842082942;1,2990893947431554;0,8985341958753946;0,22297839959616964;-0,1733406861305986;0,02256756613050125;0,6477231115271789;0,12389656091798647;0,1382000472156655;0,027884218173118945;0,039728496035548996;0,10928869511565713;1,109288695115657;25,36
38;2023;12;45,3;232;1056;9,943773584905662;13,438333333333333;981;24;21,78247504838526;45,78247504838526;50,36064971935002;-4,5781746709647635;1,3514319507166075;0,9294766143060534;0,21950935066016916;0,050350959216054154;0,020801624779940117;0,6473138287794756;0,12644018028137288;0,13947001123737507;0,022026544151678484;0,043947810770157796;0,022696110857017077;1,022696110857017;27,42
39;2023;13;45,3;232;1031;10,190568181818183;13,279166666666667;1097;24;23,231285613925532;47,231285613925536;39,78821397902622;7,443071634899319;1,3030840312082994;1,0642226076821424;0,2249573550070239;0,11786345958822574;0,025218171288795426;0,6479781701600235;0,11859850120600167;0,1450931139908278;0,028009530465870423;0,03510251288848128;0,021630977793150107;1,02163097779315;24,86
40;2023;14;45,3;232;1069;9,823207401696221;13,438333333333333;1243;24;11,94314594992324;35,94314594992324;29,046662369949324;6,896483579973918;1,3680188948278613;1,1636472677823346;0,21684784551205788;0,13372549608590042;0,01719013840659734;0,6138732909394048;0,12128266160854;0,18227308688867627;0,024763501051814647;0,04061732110496688;0,00969414515189452;1,0096941451518944;25,95
41;2023;15;45,3;232;1065;9,862208800690247;14,318936170212766;1152;47;57,83694231721773;104,83694231721773;35,38837963269978;69,44856268451795;1,4518995145601252;1,082374268487248;0,2177088035472461;-0,07332380326316047;0,02662517744224482;0,6478088977243222;0,12451648269304243;0,13861878025581184;0,015011969470473351;0,04741869241410544;0,05282435218672432;1,0528243521867244;24,94
42;2023;16;45,3;232;1075;9,772617328519855;13,869393939393937;1098;33;14,076065279308036;47,07606527930804;39,67819686257137;7,397868416736671;1,419209764708404;1,0218966314541968;0,21573106685474294;-0,047009953007645336;0,02339111750646377;0,6285697094040041;0,1640990088415893;0,12529274585342437;0,020650044708434817;0,037997373686083545;0,012979758368512583;1,0129797583685125;47,84
43;2023;17;45,3;232;1077;9,753013435700574;12,273421052631578;1101;38;83,76898128832667;121,76898128832667;39,41843930122883;82,35054198709784;1,2584234742982243;1,0229155277981445;0,21529830983886478;0,002859384120053554;0,02703748088882126;0,6190532191623389;0,15530605960965504;0,12154424956833676;0,025780392322880846;0,05127859844796717;0,08229499221402473;1,0822949922140248;36,45
44;2023;18;45,3;232;1052;9,982752293577981;13,482000000000003;1040;20;9,816931956034262;29,81693195603426;44,69690464685244;-14,879972690818178;1,3505293533801424;0,9894108857801415;0,22036980780525345;-0,05520638507001346;0,02940386236279557;0,6580385119963569;0,10452133853131672;0,1489896414951114;0,018122641164584716;0,04092400444983462;0,009521357412152496;1,0095213574121524;40,94
45;2023;19;45,35;232;1007;10,432495088408643;14,965333333333335;1001;45;37,83371030644301;82,83371030644301;48,42008713218717;34,41362317425584;1,4344922481642044;0,9943008568199742;0,23004399312918727;-0,038044770134093804;0,03420074642806604;0,6540215775889999;0,11474835647249244;0,12517451067356505;0,030951303660320593;0,04090350517655576;0,039269919143168935;1,039269919143169;40,25
46;2023;20;45,35;232;1013;10,371764705882352;14,640975609756097;979;41;14,655172413793105;55,6551724137931;50,56392845993677;5,091243953856335;1,4116185649152317;0,9669229197223494;0,2287048446721577;-0,02174063101163469;0,022040287326396957;0,6613068851048456;0,12894383589673786;0,12583410515122112;0,017599557470179137;0,04427532905061938;0,0151892610811663;1,0151892610811664;37,37
47;2023;21;45,35;232;1025;10,248048523206753;13,525;928;30;9,152962130816729;39,15296213081673;55,835282553293325;-16,682320422476593;1,3197634622213756;0,9060294923580149;0,22597681418316987;-0,051876524163333056;0,02536250263754706;0,6201989196362104;0,16076961878127055;0,12740472734018865;0,023518978029818633;0,04274525357496462;0,00995398663417766;1,0099539866341773;32,35
